customer_no,total_enq_amt,total_enq_count
616,5711001.0,42
617,803000.0,15
618,12099100.0,33
619,2494000.0,33
620,106496579.0,16
621,801000.0,7
622,96000.0,6
623,7606601.0,27
624,487000.0,7
625,5200000.0,18
626,588391.0,10
627,13802000.0,24
628,237010.0,8
629,1011000.0,17
630,1629000.0,13
631,870000.0,14
632,237291.0,6
633,3197002.0,17
634,1074000.0,12
635,62000.0,4
636,5296500.0,76
637,3476000.0,31
638,6600000.0,20
639,111795002.0,38
640,9205010.0,22
641,682301.0,20
642,497000.0,17
643,383528.0,10
644,1488002.0,13
645,152004.0,13
646,6999302.0,74
647,4554300.0,17
648,4566000.0,10
649,296000.0,7
650,946000.0,10
651,5097203.0,55
652,1026500.0,12
653,453000.0,11
654,2856000.0,10
655,867300.0,19
656,2878677.0,27
657,6178000.0,28
658,118339104.0,90
659,1918650.0,31
660,9244100.0,21
661,95000.0,4
662,853000.0,8
663,1912000.0,5
664,5247000.0,16
665,1906101.0,22
666,7298500.0,15
667,477000.0,10
668,120052000.0,9
669,2655200.0,14
670,898000.0,10
671,3290000.0,21
672,800000.0,4
673,0.0,0
674,553000.0,5
675,2742000.0,24
676,384000.0,14
677,512000.0,10
678,285000.0,5
679,203324100.0,66
680,1145990.0,24
681,1451000.0,24
682,341000.0,8
683,301000.0,10
684,1204000.0,21
685,14960273.0,51
686,1556000.0,5
687,3704501.0,47
688,271150.0,13
689,3060004.0,46
690,20836001.0,31
691,4526000.0,27
692,1952010.0,11
693,512000.0,14
694,1055710.0,11
695,487000.0,12
696,671450.0,8
697,444586.0,16
698,1289801.0,16
699,571550.0,11
700,1293667.0,8
701,11047470.0,38
702,2788288.0,26
703,0.0,0
704,5722201.0,10
705,220000.0,5
706,18895549.0,57
707,100575100.0,16
708,175000.0,3
709,113681000.0,31
710,206000.0,8
711,462000.0,7
712,272000.0,10
713,9471003.0,45
714,888501.0,9
715,1575600.0,43
716,10617706.0,61
717,1266250.0,25
718,2724805.0,26
719,1547001.0,16
720,931000.0,9
721,587001.0,16
722,385000.0,6
723,1718000.0,23
724,2423101.0,32
725,1258856.0,9
726,422000.0,11
727,600101.0,13
728,469000.0,11
729,7001000.0,5
730,10010000.0,5
731,8259001.0,39
732,288000.0,6
733,2772000.0,9
734,337000.0,14
735,17557201.0,34
736,1571100.0,6
737,2766500.0,24
738,24472000.0,14
739,3680600.0,7
740,547500.0,9
741,5111000.0,4
742,776000.0,15
743,165003.0,7
744,4167011.0,18
745,1395000.0,18
746,34252122.0,33
747,100232000.0,12
748,401000.0,6
749,3903901.0,44
750,217718081.0,51
751,845902.0,12
752,3496000.0,14
753,327000.0,13
754,1005900.0,30
755,2112999.0,25
756,3756400.0,33
757,3058000.0,23
758,452500.0,5
759,26784102.0,40
760,141000.0,7
761,2471000.0,7
762,9304950.0,27
763,1398100.0,27
764,3039000.0,12
765,1518000.0,22
766,61000.0,3
767,549000.0,15
768,4212003.0,26
769,2404400.0,20
770,268900.0,12
771,7554620.0,9
772,101000.0,7
773,653820.0,7
774,2622000.0,18
775,42404084.0,35
776,3252000.0,6
777,375310.0,7
778,161000.0,5
779,99000.0,9
780,100252000.0,10
781,23055500.0,27
782,1398000.0,15
783,351000.0,5
784,2380076.0,21
785,163685.0,4
786,32092827.0,60
787,100998990.0,8
788,1690000.0,6
789,16220000.0,34
790,2123000.0,21
791,3669900.0,33
792,5907094.0,31
793,2842000.0,15
794,2534646.0,25
795,4224004.0,16
796,103809010.0,34
797,538024.0,11
798,7110150.0,27
799,2006054.0,28
800,1782500.0,17
801,876100.0,14
802,64704100.0,58
803,661000.0,5
804,1347802.0,28
805,0.0,0
806,801000.0,2
807,1091000.0,13
808,216000.0,5
809,562200.0,11
810,5536000.0,13
811,152000.0,4
812,1654600.0,17
813,382000.0,10
814,4311401.0,41
815,2197725.0,18
816,511000.0,15
817,3221150.0,30
818,176000.0,5
819,151000.0,4
820,746000.0,5
821,161000.0,8
822,693200.0,20
823,2812001.0,27
824,377000.0,12
825,2173000.0,17
826,1970500.0,10
827,2976000.0,52
828,1042000.0,9
829,1302001.0,9
830,63000.0,5
831,3007012.0,22
832,3970001.0,27
833,6008000.0,45
834,1843900.0,16
835,4065891.0,23
836,160500.0,7
837,1867000.0,10
838,8954203.0,48
839,4768764.0,19
840,964650.0,15
841,2454101.0,22
842,235200.0,8
843,5261101.0,42
844,290200.0,10
845,3092000.0,50
846,2323990.0,16
847,452000.0,4
848,1266101.0,13
849,2380001.0,34
850,8003003.0,30
851,659415.0,11
852,320700.0,5
853,150100.0,4
854,996000.0,18
855,4356000.0,23
856,472100.0,20
857,269000.0,11
858,2071601.0,11
859,4747000.0,16
860,75551001.0,29
861,3022000.0,35
862,18238000.0,59
863,466001.0,5
864,2335800.0,10
865,1619000.0,15
866,725000.0,7
867,1036379.0,9
868,98000.0,3
869,862500.0,7
870,207923846.0,94
871,8103001.0,25
872,506000.0,12
873,10128100.0,29
874,937000.0,10
875,752100.0,16
876,2242094.0,36
877,1451000.0,7
878,52000.0,3
879,3915000.0,31
880,3981100.0,23
881,1276200.0,19
882,1006001.0,24
883,1950380.0,35
884,2407090.0,16
885,1162320.0,12
886,2768000.0,21
887,616200.0,11
888,102000.0,4
889,300001.0,13
890,97000.0,7
891,1325100.0,19
892,1042300.0,15
893,971000.0,20
894,378000.0,14
895,1780300.0,23
896,2269655.0,22
897,1641700.0,9
898,1362000.0,8
899,14393300.0,42
900,293001.0,9
901,3533000.0,35
902,732000.0,5
903,466662.0,17
904,1726000.0,19
905,501000.0,7
906,19033700.0,17
907,8923204.0,38
908,337000.0,12
909,945000.0,19
910,33794905.0,25
911,1750000.0,25
912,150000.0,2
913,3296100.0,30
914,996000.0,8
915,61000.0,3
916,100256000.0,8
917,374000.0,7
918,104000.0,5
919,2070200.0,24
920,1182000.0,22
921,2628519.0,25
922,8530951.0,33
923,431600.0,8
924,4690252.0,29
925,5393000.0,12
926,906000.0,20
927,81000.0,5
928,71000.0,4
929,227250.0,5
930,342001.0,15
931,5688450.0,39
932,15250103.0,53
933,4530100.0,44
934,4187500.0,28
935,103125500.0,32
936,257300.0,7
937,3151000.0,24
938,1253000.0,5
939,5167085.0,61
940,1835000.0,5
941,113000.0,5
942,683000.0,10
943,48200.0,2
944,13953000.0,30
945,27912000.0,47
946,536000.0,4
947,286200.0,10
948,62000.0,4
949,250000.0,3
950,2069600.0,34
951,1916400.0,36
952,15469500.0,15
953,224500.0,7
954,4400200.0,30
955,4011150.0,28
956,565100.0,13
957,8149001.0,29
958,10811790.0,40
959,13229872.0,33
960,2140000.0,8
961,261000.0,5
962,731001.0,11
963,300100.0,5
964,165950802.0,50
965,2639600.0,19
966,1260600.0,21
967,2669200.0,28
968,6631201.0,53
969,142000.0,6
970,5901000.0,6
971,4769001.0,19
972,9953203.0,23
973,100622000.0,10
974,212000.0,5
975,330000.0,8
976,1068338.0,8
977,1250000.0,7
978,2259000.0,5
979,3841000.0,24
980,512001.0,10
981,1046001.0,6
982,3633000.0,5
983,3020000.0,35
984,4312000.0,9
985,51972000.0,30
986,121000.0,4
987,71000.0,4
988,4653500.0,20
989,309000.0,11
990,2870372.0,12
991,2679490.0,6
992,2036150.0,35
993,5107990.0,24
994,3097001.0,15
995,376000.0,8
996,3536403.0,36
997,2157000.0,17
998,756101.0,13
999,9492300.0,37
1000,193000.0,10
1001,113000.0,4
1002,3586500.0,24
1003,470000.0,8
1004,1229390999.0,24
1005,224000.0,11
1006,5726101.0,38
1007,8313201.0,20
1008,278000.0,7
1009,626000.0,20
1010,1771299.0,15
1011,212000.0,5
1012,4449200.0,16
1013,2370001.0,12
1014,4301492.0,17
1015,512000.0,13
1016,168090.0,5
1017,1954000.0,29
1018,1375000.0,24
1019,5683494.0,29
1020,241000.0,2
1021,37882010.0,20
1022,235002.0,10
1023,62000.0,1
1024,2010175.0,9
1025,12128000.0,12
1026,1101000.0,7
1027,8193150.0,24
1028,8655000.0,17
1029,1762950.0,19
1030,4713883.0,15
1031,1582396.0,22
1032,5416903.0,26
1033,342000.0,5
1034,723000.0,11
1035,481000.0,10
1036,232000.0,7
1037,101002000.0,17
1038,2953000.0,21
1039,463000.0,13
1040,4265000.0,11
1041,64000.0,6
1042,514000.0,12
1043,2771001.0,20
1044,657000.0,4
1045,202113000.0,10
1046,701000.0,11
1047,2505500.0,16
1048,1531000.0,7
1049,699001.0,15
1050,860258.0,7
1051,3240000.0,43
1052,362500.0,12
1053,914000.0,24
1054,1051000.0,9
1055,225000.0,4
1056,1696173.0,17
1057,150000.0,5
1058,2195100.0,22
1059,1576000.0,14
1060,13568104.0,37
1061,3460000.0,4
1062,110000.0,3
1063,503000.0,7
1064,184001.0,7
1065,2544003.0,42
1066,1324000.0,15
1067,2957100.0,9
1068,896000.0,5
1069,576000.0,22
1070,363229.0,11
1071,166000.0,4
1072,111000.0,4
1073,13347000.0,27
1074,1792003.0,31
1075,532801.0,4
1076,51000.0,2
1077,377000.0,8
1078,4581101.0,41
1079,111000.0,2
1080,4445925.0,20
1081,594000.0,16
1082,12456990.0,21
1083,336000.0,8
1084,1822001.0,16
1085,200000.0,2
1086,1277000.0,12
1087,4289100.0,24
1088,6478384.0,60
1089,265000.0,11
1090,114000.0,4
1091,529200.0,8
1092,301900.0,9
1093,101585000.0,12
1094,19764902.0,32
1095,4143502.0,35
1096,1552000.0,10
1097,266000.0,11
1098,971000.0,9
1099,188100.0,7
1100,156001.0,7
1101,519778.0,16
1102,1331000.0,15
1103,2321000.0,9
1104,7510960.0,24
1105,4743010.0,14
1106,52000.0,3
1107,102109000.0,20
1108,13160000.0,18
1109,2185500.0,29
1110,665500.0,13
1111,179322.0,7
1112,5079100.0,31
1113,3636303.0,41
1114,86000.0,4
1115,7451150.0,24
1116,1601200.0,33
1117,2144703.0,34
1118,535000.0,18
1119,737000.0,8
1120,683001.0,12
1121,4437401.0,47
1122,5228103.0,34
1123,713000.0,12
1124,16978000.0,33
1125,453001.0,13
1126,2352700.0,21
1127,2611699.0,30
1128,1212200.0,13
1129,4771000.0,12
1130,101000.0,3
1131,132000.0,6
1132,1118000.0,17
1133,1091000.0,23
1134,2454610.0,33
1135,394001.0,6
1136,557600.0,8
1137,45197302.0,48
1138,296000.0,9
1139,172000.0,6
1140,2973401.0,42
1141,23642000.0,19
1142,4971001.0,22
1143,8058101.0,45
1144,101087100.0,17
1145,1010000.0,15
1146,200000.0,3
1147,2000000.0,12
1148,2223995.0,8
1149,22196200.0,25
1150,3703000.0,26
1151,7923000.0,11
1152,4762200.0,31
1153,345700.0,9
1154,39803001.0,20
1155,461000.0,3
1156,2150806.0,25
1157,4205819.0,21
1158,1682200.0,26
1159,4338000.0,32
1160,14299010.0,35
1161,1779171.0,19
1162,4109671.0,26
1163,1275759.0,23
1164,879000.0,14
1165,3075000.0,30
1166,205000.0,12
1167,1234762.0,18
1168,87000.0,6
1169,4524002.0,34
1170,5609368.0,12
1171,243000.0,7
1172,8779178.0,48
1173,248150.0,5
1174,3451000.0,24
